M	Ed	Po1	LF	M.F	NW	U2	Ineq	Prob	Time	Crime
15.1	9.1	5.8	0.51	95	30.1	4.1	26.1	0.084602	26.2011	791
14.3	11.3	10.3	0.583	101.2	10.2	3.6	19.4	0.029599	25.2999	1635
14.2	8.9	4.5	0.533	96.9	21.9	3.3	25	0.083401	24.3006	578
13.6	12.1	14.9	0.577	99.4	8	3.9	16.7	0.015801	29.9012	1969
14.1	12.1	10.9	0.591	98.5	3	2	17.4	0.041399	21.2998	1234
12.1	11	11.8	0.547	96.4	4.4	2.9	12.6	0.034201	20.9995	682
12.7	11.1	8.2	0.519	98.2	13.9	3.8	16.8	0.0421	20.6993	963
13.1	10.9	11.5	0.542	96.9	17.9	3.5	20.6	0.040099	24.5988	1555
15.7	9	6.5	0.553	95.5	28.6	2.8	23.9	0.071697	29.4001	856
14	11.8	7.1	0.632	102.9	1.5	2.4	17.4	0.044498	19.5994	705
12.4	10.5	12.1	0.58	96.6	10.6	3.5	17	0.016201	41.6	1674
13.4	10.8	7.5	0.595	97.2	5.9	3.1	17.2	0.031201	34.2984	849
12.8	11.3	6.7	0.624	97.2	1	2.5	20.6	0.045302	36.2993	511
13.5	11.7	6.2	0.595	98.6	4.6	2.7	19	0.0532	21.501	664
15.2	8.7	5.7	0.53	98.6	7.2	4.3	26.4	0.0691	22.7008	798
14.2	8.8	8.1	0.497	95.6	32.1	4.7	24.7	0.052099	26.0991	946
14.3	11	6.6	0.537	97.7	0.6	3.5	16.6	0.076299	19.1002	539
13.5	10.4	12.3	0.537	97.8	17	3.4	16.5	0.119804	18.1996	929
13	11.6	12.8	0.536	93.4	2.4	3.4	13.5	0.019099	24.9008	750
12.5	10.8	11.3	0.567	98.5	9.4	5.8	16.6	0.034801	26.401	1225
12.6	10.8	7.4	0.602	98.4	1.2	3.3	19.5	0.0228	37.5998	742
15.7	8.9	4.7	0.512	96.2	42.3	3.4	27.6	0.089502	37.0994	439
13.2	9.6	8.7	0.564	95.3	9.2	3.2	22.7	0.0307	25.1989	1216
13.1	11.6	7.8	0.574	103.8	3.6	4.2	17.6	0.041598	17.6	968
13	11.6	6.3	0.641	98.4	2.6	2.1	19.6	0.069197	21.9003	523
13.1	12.1	16	0.631	107.1	7.7	4.1	15.2	0.041698	22.1005	1993
13.5	10.9	6.9	0.54	96.5	0.4	2.2	13.9	0.036099	28.4999	342
15.2	11.2	8.2	0.571	101.8	7.9	2.8	21.5	0.038201	25.8006	1216
11.9	10.7	16.6	0.521	93.8	8.9	3.6	15.4	0.0234	36.7009	1043
16.6	8.9	5.8	0.521	97.3	25.4	2.6	23.7	0.075298	28.3011	696
14	9.3	5.5	0.535	104.5	2	4	20	0.041999	21.7998	373
12.5	10.9	9	0.586	96.4	8.2	4.3	16.3	0.042698	30.9014	754
14.7	10.4	6.3	0.56	97.2	9.5	2.4	23.3	0.049499	25.5005	1072
12.6	11.8	9.7	0.542	99	2.1	3.5	16.6	0.040799	21.6997	923
12.3	10.2	9.7	0.526	94.8	7.6	5	15.8	0.0207	37.4011	653
15	10	10.9	0.531	96.4	2.4	3.8	15.3	0.0069	44.0004	1272
17.7	8.7	5.8	0.638	97.4	34.9	2.8	25.4	0.045198	31.6995	831
13.3	10.4	5.1	0.599	102.4	4	2.7	22.5	0.053998	16.6999	566
14.9	8.8	6.1	0.515	95.3	16.5	3.5	25.1	0.047099	27.3004	826
14.5	10.4	8.2	0.56	98.1	12.6	3.1	22.8	0.038801	29.3004	1151
14.8	12.2	7.2	0.601	99.8	1.9	2	14.4	0.0251	30.0001	880
14.1	10.9	5.6	0.523	96.8	0.2	3.7	17	0.088904	12.1996	542
16.2	9.9	7.5	0.522	99.6	20.8	2.7	22.4	0.054902	31.9989	823
13.6	12.1	9.5	0.574	101.2	3.6	3.7	16.2	0.0281	30.0001	1030
13.9	8.8	4.6	0.48	96.8	4.9	5.3	24.9	0.056202	32.5996	455
12.6	10.4	10.6	0.599	98.9	2.4	2.5	17.1	0.046598	16.6999	508
13	12.1	9	0.623	104.9	2.2	4	16	0.052802	16.0997	849
